COType,Loc_CODE,LOC_NAME,count,percentage
HH,11,Large City,2744,4.218488170092394
HH,12,Midsize City,736,1.1314895383338202
HH,13,Small City,792,1.2175811336418283
HH,21,Large Suburban,3214,4.941042630713176
HH,22,Midsize Suburban,154,0.23675188709702216
HH,23,Small Suburban,107,0.16449644103494396
HH,31,Fringe Town,150,0.23060248743216444
HH,32,Distant Town,115,0.1767952403646594
HH,33,Remote Town,53,0.08147954555936476
HH,41,Fringe Rural,71,0.10915184405122451
HH,42,Distant Rural,31,0.047657847402647315
HH,43,Remote Rural,7,0.010761449413501007
HL,11,Large City,456,0.7010315617937799
HL,12,Midsize City,326,0.501176072685904
HL,13,Small City,364,0.5595953695020524
HL,21,Large Suburban,507,0.7794364075207159
HL,22,Midsize Suburban,64,0.0983903946377235
HL,23,Small Suburban,25,0.03843374790536074
HL,31,Fringe Town,62,0.09531569480529463
HL,32,Distant Town,112,0.1721831906160161
HL,33,Remote Town,87,0.13374944271065536
HL,41,Fringe Rural,20,0.030746998324288594
HL,42,Distant Rural,9,0.013836149245929867
HL,43,Remote Rural,4,0.006149399664857719
LH,11,Large City,5965,9.170292250219072
LH,12,Midsize City,2064,3.1730902270665826
LH,13,Small City,2370,3.6435193014281984
LH,21,Large Suburban,8009,12.312635478961367
LH,22,Midsize Suburban,719,1.105354589758175
LH,23,Small Suburban,454,0.697956861961351
LH,31,Fringe Town,870,1.3374944271065539
LH,32,Distant Town,1043,1.60345596261165
LH,33,Remote Town,323,0.4965640229372607
LH,41,Fringe Rural,1212,1.8632680984518886
LH,42,Distant Rural,1016,1.5619475148738604
LH,43,Remote Rural,214,0.3289928820698879
LL,11,Large City,4550,6.994942118775654
LL,12,Midsize City,2719,4.180054422187034
LL,13,Small City,3304,5.079404123172475
LL,21,Large Suburban,4456,6.850431226651499
LL,22,Midsize Suburban,783,1.2037449843958983
LL,23,Small Suburban,602,0.9254846495610866
LL,31,Fringe Town,1270,1.9524343935923256
LL,32,Distant Town,3322,5.107076421664335
LL,33,Remote Town,1886,2.8994419419804145
LL,41,Fringe Rural,3004,4.618199148308146
LL,42,Distant Rural,3316,5.097852322167048
LL,43,Remote Rural,1366,2.1000199855489106
